F0(mN),F0_err(mN),F(mN),F_err(mN),D(cm),D_err(cm)
10.,1,18.,1,5.98,0.02
11.,1,19.,1,5.98,0.02
9.,1,19.,1,5.98,0.02
9.,1,18.,1,5.98,0.02
10.,1,19.,1,5.98,0.02
10.,1,18.,1,5.98,0.02
10.,1,17.,1,5.98,0.02
