f(Hz),ferr(Hz),L(m),Lerr(m),M(g)
0.764279447434872,0.01,0.05,0.001,149
0.929478499180078,0.01,0.1,0.001,149
0.950578117438927,0.01,0.15,0.001,149
0.919879496659347,0.01,0.2,0.001,149
0.874623422203241,0.01,0.25,0.001,149
